geo_code1,geo_code2,all,from_home,light_rail,train,bus,taxi,motorbike,car_driver,car_passenger,bicycle,foot,other,length,pwalk_base,pcycle_base,pdrive_base
E02002417,E02002281,0.286968,0,0,0,0,0,0,0.191312,0.095656,0,0,0,20588.086038,0,0,0.666667
E02002432,E02002283,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,18469.105514,0,0,1
E02002417,E02002284,0.47828,0,0,0,0,0,0,0.47828,0,0,0,0,17165.995743,0,0,1
E02002432,E02002285,0.191312,0,0,0,0,0,0,0.191312,0,0,0,0,22355.036315,0,0,1
E02002417,E02002286,0.382624,0,0,0,0,0,0,0.382624,0,0,0,0,20005.364689000002,0,0,1
E02002417,E02002287,0.95656,0,0,0,0,0,0,0.95656,0,0,0,0,19021.078973,0,0,1
E02002417,E02002288,0.286968,0,0,0,0,0,0,0.095656,0.191312,0,0,0,17426.233298,0,0,0.333333
E02002432,E02002291,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,23547.043534,0,0,1
E02002417,E02002292,0.191312,0,0,0,0,0,0,0.191312,0,0,0,0,26977.726227,0,0,1
E02002417,E02002293,0.382624,0,0,0,0,0,0,0.382624,0,0,0,0,21251.419828,0,0,1
E02002417,E02002294,0.286968,0,0,0,0,0,0,0.286968,0,0,0,0,19309.893522,0,0,1
E02002417,E02002296,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,23427.603636,0,0,1
E02002417,E02002298,0.286968,0,0,0,0,0,0,0.286968,0,0,0,0,19703.414896,0,0,1
E02002417,E02002299,0.669592,0,0,0.095656,0,0,0,0.573936,0,0,0,0,28733.646726,0,0,0.857143
E02002417,E02002301,0.095656,0,0,0.095656,0,0,0,0,0,0,0,0,29805.789193,0,0,0
E02002432,E02002303,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,31833.736192,0,0,1
E02002417,E02002312,0.382624,0,0,0,0,0,0,0.382624,0,0,0,0,29732.693671,0,0,1
E02002432,E02002315,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,33440.663209,0,0,1
E02002432,E02002317,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,32370.529899,0,0,1
E02002432,E02002320,0.286968,0,0,0,0.095656,0,0,0.191312,0,0,0,0,32732.296866,0,0,0.666667
E02002432,E02002324,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,25462.311329,0,0,1
E02002417,E02002327,0.191312,0,0,0,0,0,0,0.191312,0,0,0,0,26524.057813,0,0,1
E02002417,E02002331,6.791578,0,0,0,0.382624,0,0,5.739362,0.382624,0,0.191312,0.095656,20565.128109,0.028169,0,0.84507
E02002417,E02002333,0.860904,0,0,0,0.095656,0,0.095656,0.573936,0,0,0.095656,0,28071.55441,0.111111,0,0.666667
E02002417,E02002334,0.860904,0,0,0,0.095656,0,0,0.765248,0,0,0,0,17017.266427,0,0,0.888889
E02002417,E02002335,0.860904,0,0,0.095656,0,0,0,0.47828,0.191312,0,0.095656,0,17368.225829,0.111111,0,0.555556
E02002417,E02002336,1.339184,0,0,0.095656,0,0,0,1.243528,0,0,0,0,23127.315869,0,0,0.928571
E02002432,E02002337,0.382624,0,0,0,0.095656,0,0,0.191312,0,0.095656,0,0,27947.661726,0,0.25,0.5
E02002417,E02002338,0.382624,0,0,0.095656,0,0,0,0.191312,0.095656,0,0,0,26914.945072,0,0,0.5
E02002417,E02002339,0.669592,0,0,0,0,0,0,0.382624,0.191312,0.095656,0,0,25627.395004,0,0.142857,0.571429
E02002417,E02002340,0.382624,0,0,0,0,0,0,0.382624,0,0,0,0,24935.444286,0,0,1
E02002417,E02002341,0.191312,0,0,0,0,0,0,0.191312,0,0,0,0,17882.333278,0,0,1
E02002417,E02002343,0.191312,0,0,0,0,0,0,0.095656,0,0.095656,0,0,24584.637117,0,0.5,0.5
E02002417,E02002344,0.286968,0,0,0,0,0,0,0.286968,0,0,0,0,16178.015063,0,0,1
E02002417,E02002345,0.286968,0,0,0,0,0,0,0.286968,0,0,0,0,19007.732617,0,0,1
E02002417,E02002346,0.191312,0,0,0,0,0,0,0.095656,0,0.095656,0,0,20679.621977,0,0.5,0.5
E02002417,E02002347,0.382624,0,0,0,0,0,0,0.382624,0,0,0,0,16992.051417,0,0,1
E02002417,E02002348,1.243528,0,0,0.095656,0,0,0,0.860904,0.286968,0,0,0,19656.430563,0,0,0.692308
